Gun,Fiyat
1,454.55
2,444.28
3,450.35
4,463.19
5,462.41
6,476.42
7,460.68
8,448.06
9,460.31
10,482.02
11,478.53
12,471.01
13,510.18
14,552.03
15,560.27
16,608.67
17,605.04
18,569.38
19,519.36
20,518.63
21,537.72
22,575.57
23,616.30
24,585.14
25,598.09
26,615.90
27,567.49
28,596.79
29,601.51
30,591.24
31,555.14
32,573.57
33,558.21
34,543.91
35,568.02
36,590.94
37,586.35
38,588.89
39,637.31
40,643.45
41,653.7
42,658.58
43,638.37
44,607.7
45,637.43
46,585.75
47,612.31
48,627.02
49,636.58
50,683.74
51,730.02
52,731.9
53,751.67
54,735.96
55,728.89
56,774.41
57,973.85
58,1042.19
59,1099.39
60,1208.5
61,1224.59
62,1192.5
