Gün,Fiyat
1,108
2,111
3,116
4,118
5,122
6,123
7,124
8,125
9,131
10,132
11,132
12,133
13,133
14,133
15,134
16,135
17,136
18,136
19,136
20,138
21,139
22,141
23,141
24,143
25,144
26,153
27,156
28,158
29,158
30,158
31,159
32,160
33,163
34,163
35,164
36,165
37,166
38,166
39,167
40,167
41,168
42,168
43,169
44,170
45,170
46,170
47,170
48,171
49,171
50,171
51,172
52,173
53,174
54,174
55,176
56,180
57,180
58,183
59,184
60,185
61,185
62,186
63,187
64,188
65,188
66,189
67,189
68,190
69,190
70,194
71,195
72,195
73,196
74,197
75,197
76,199
77,199
78,199
79,200
80,200
81,201
82,201
83,201
84,203
85,203
86,204
87,204
88,205
89,206
90,207
91,207
92,207
93,207
94,208
95,210
96,210
97,210
98,211
99,212
100,212
101,213
102,214
103,215
104,215
105,215
106,218
107,218
108,220
109,221
110,221
111,223
112,223
113,224
114,224
115,224
116,224
117,225
118,225
119,226
120,226
121,227
122,228
123,228
124,228
125,228
126,228
127,229
128,229
129,229
130,229
131,230
132,231
133,231
134,231
135,231
136,232
137,232
138,232
139,233
140,233
141,234
142,234
143,235
144,235
145,236
146,236
147,237
148,237
149,238
150,238
151,238
152,239
153,239
154,239
155,239
156,240
157,240
158,241
159,241
160,242
161,242
162,242
163,243
164,243
165,243
166,243
167,244
168,244
169,245
170,245
171,245
172,246
173,246
174,247
175,247
176,248
177,248
178,257
179,259
180,260
181,262
182,263
183,265
184,265
185,266
186,266
187,268
188,269
189,275
190,275
191,279
192,282
193,285
194,305
195,311
196,317
197,318
198,320
199,322
200,335
201,335
202,337
203,341
204,341
205,341
206,344
207,346
208,346
209,347
210,349
211,351
212,351
213,352
214,352
215,353
216,353
217,353
218,353
219,354
220,354
221,357
222,359
223,360
224,364
225,365
226,365
227,365
228,366
229,368
230,368
231,369
232,370
233,371
234,372
235,374
236,374
237,377
238,377
239,378
240,379
241,379
242,379
243,380
244,381
245,382
246,382
247,383
248,383
249,384
250,384
251,385
252,386
253,386
254,386
255,386
256,387
257,387
258,387
259,387
260,388
261,388
262,388
263,388
264,389
265,390
266,390
267,391
268,391
269,394
270,395
271,395
272,396
273,396
274,396
275,397
276,399
277,401
278,402
279,403
280,406
281,407
282,408
283,409
284,412
285,414
286,416
287,417
288,422
289,424
290,429
291,431
292,432
293,434
294,434
295,435
296,438
297,439
298,444
299,448
300,450
301,455
302,456
303,460
304,461
305,463
306,463
307,471
308,476
309,476
310,479
311,482
312,510
313,518
314,519
315,538
316,544
317,552
318,555
319,558
320,559
321,568
322,568
323,570
324,573
325,575
326,586
327,586
328,586
329,589
330,591
331,591
332,597
333,598
334,602
335,605
336,608
337,609
338,612
339,616
340,616
341,627
342,637
343,637
344,637
345,638
346,643
347,654
348,658
349,684
350,729
351,730
352,732
353,736
354,752
355,775
356,975
357,1042
358,1050
359,1091
360,1100
361,1128
362,1160
363,1208
364,1216
365,1224
366,1256
367,1276
